threshold,precision,recall,f1_score,predicted_positive_rate
0.3,0.5621161085793541,0.9895361004534357,0.716957290876927,0.2330101569713758
0.35,0.5661603038177093,0.987966515521451,0.7198221092757306,0.23097876269621423
0.39999999999999997,0.5705912076806468,0.9846529473317056,0.7225030392219591,0.22841643582640814
0.44999999999999996,0.5756521739130435,0.9813393791419602,0.7256431749306854,0.22564635272391506
0.49999999999999994,0.5798528344906207,0.9757586327171259,0.7274263797698758,0.2227377654662973
0.5499999999999999,0.5889758781210326,0.9708754795953959,0.7331752930330567,0.21819021237303785
0.5999999999999999,0.5957862728062554,0.956749215207534,0.7343059831347879,0.21255771006463528
0.6499999999999999,0.6044751196704887,0.946982908964074,0.737922130869063,0.20736380424746076
0.7,0.612736660929432,0.9312870596442274,0.7391514983735898,0.20117728531855955
0.7499999999999999,0.6237033504232741,0.9122776421346355,0.740882373769563,0.19360572483841182
0.7999999999999998,0.6456203907361884,0.870247645622602,0.7412909455544826,0.17841643582640812
0.8499999999999999,0.6754176610978521,0.7896756191140565,0.7280913330117382,0.15475530932594644
0.8999999999999999,0.7154618473895582,0.6213812347401465,0.6651110696285234,0.1149584487534626
