threshold,precision,recall,f1_score,predicted_positive_rate
0.3,0.5610453648915187,0.9921520753400768,0.7167695602872622,0.23407202216066483
0.35,0.5639523336643496,0.9904080920823161,0.7186788154897494,0.2324561403508772
0.39999999999999997,0.5684738955823293,0.9874433205441228,0.7215496368038741,0.2299168975069252
0.44999999999999996,0.5741909220435579,0.9839553540286013,0.7251928020565552,0.2268236380424746
0.49999999999999994,0.5800557448126354,0.9799441925357516,0.7287465144932235,0.22361495844875345
0.5499999999999999,0.5888057341625382,0.9741890477851413,0.7339859404769726,0.21899815327793168
0.5999999999999999,0.596022911488166,0.9618067666550401,0.7359711750183492,0.21359649122807017
0.6499999999999999,0.605875152998776,0.949598883850715,0.7397595272060322,0.2074561403508772
0.7,0.6129549095902953,0.9340774328566446,0.740187949143173,0.20170821791320406
0.7499999999999999,0.6247616777883699,0.9143704220439484,0.7423191278493558,0.19372114496768236
0.7999999999999998,0.6418806694774498,0.8761771886989885,0.7409483076469286,0.18067867036011082
0.8499999999999999,0.6728267297457126,0.7936867806069062,0.728276524243879,0.156140350877193
0.8999999999999999,0.714228855721393,0.6259155912103244,0.6671623756854727,0.11599722991689751
